Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112010353453,DS_2021_03_12,,TRUE,914 R79E1971,Everyday life of medieval travellers.,"Rowling, Marjorie.","London, New York, B T Batsford [1971]",99133047112205899
30112001143723,DS_2021_03_12,BC100,TRUE,248.4630902 N166L,Life on a medieval pilgrimage /,"Nardo, Don,","San Diego, CA : Lucent Books, 1996.",99389270712205899
30112097698713,DS_2021_03_12,BC100,TRUE,Q. 720.973 W93LAR,Frank Lloyd Wright : the masterworks /,"Larkin, David,","New York : Rizzoli in association with the Frank Lloyd Wright Foundation, 1993.",99356313912205899
30112004408305,LO_2021_03_25,BC100,TRUE,ML2551.K67 P21995,Hanʾguk chŏntʻong ŭmak ŭi sŏnnyul kujo /,"Paek, Tae-ung,","Sŏul : Ŏullim, 1995.",99394687512205899
30112029106744,DS_2021_03_12,,TRUE,712.50977366 H225U,University of Illinois Arboretum : sourcebook /,"Harkness, Terence G.","[Urbana : The Committee, 1993.",99375280412205899
30112003657878,LO_2021_03_15,,FALSE,PR6003.E282 Z6243 1996,Samuel Beckett : the last modernist /,"Cronin, Anthony.","London : HarperCollins, 1996.",99388521512205899
30112000192143,LO_2021_03_15,,FALSE,ML290.8.M4 K46,Celestial sirens : nuns and their music in early modern Milan /,"Kendrick, Robert L.",Oxford [England] : New York : Clarendon Press 1996.,99390544512205899
30112016085745,LO_2021_03_15,,FALSE,MT810 M97R4,Music for children : based on (Carl Orff-Gunild Keetman) Musik für Kinder /,"Regner, Hermann.","[Place of publication not identified] : Schott Music Corp, ©1977-",9992642012205899
30112016085737,LO_2021_03_15,,FALSE,MT810 M97R4,Music for children : based on (Carl Orff-Gunild Keetman) Musik für Kinder /,"Regner, Hermann.","[Place of publication not identified] : Schott Music Corp, ©1977-",9992642012205899
30112015793372,LO_2021_03_15,,FALSE,M1627 J47,"Jerry Silverman's folk song encyclopedia : [with over 1,000 favorite songs arr. for voice and guitar] /","Silverman, Jerry,","New York : Chappell Music Co, c1974-c1975.",99179850712205899
30112015793364,LO_2021_03_15,,FALSE,M1627 J47,"Jerry Silverman's folk song encyclopedia : [with over 1,000 favorite songs arr. for voice and guitar] /","Silverman, Jerry,","New York : Chappell Music Co, c1974-c1975.",99179850712205899
30112014336546,LO_2021_03_15,,FALSE,MT810 M97R4,Music for children : based on (Carl Orff-Gunild Keetman) Musik für Kinder /,"Regner, Hermann.","[Place of publication not identified] : Schott Music Corp, ©1977-",9992642012205899
30112015257964,LO_2021_03_15,,FALSE,M38.5 M87,Music the whole world loves : 53 popular melodies arranged as piano solos /,"Wallis, Chester.","Willis Music, c1936.",9992297412205899
30112016038439,LO_2021_03_15,,FALSE,MT1H63 D38,A developmental music program : teacher's manual /,"Hoermann, Deanna","Brookvale, N. S. W. : Educational Supplies, c1984-",99172172012205899
30112016038447,LO_2021_03_15,,FALSE,MT1H63 D38,A developmental music program : teacher's manual /,"Hoermann, Deanna","Brookvale, N. S. W. : Educational Supplies, c1984-",99172172012205899
30112015831412,LO_2021_03_15,,FALSE,M1990 T83,Twenty-four favorite nursery and folk songs : with piano accompaniment in art song style for pre-school and elementary grades /,"Bacon, Denise","Wellesley, Mass. : Kodály Center of America, c1993.",99360569912205899
30112016083609,LO_2021_03_15,,FALSE,MT746M25 F5,"The first month at the piano for the pre-school beginner or youngsters of any age,",Mana-Zucca.,"Chicago, Clayton F Summy, c1935.",99334629812205899
30112016084177,LO_2021_03_15,,FALSE,MT755P37 M8,Musical alphabet and figures : for the kindergartner and pre-school pianist /,"Perry, Josephine Hovey.","Philadelphia : O Ditson, c1947.",99366683712205899
30112044518071,LO_2021_03_15,,FALSE,M22 S26H5,The Satie collection : 21 piano works /,"Satie, Erik,","Mainz ; New York : Schott, c1999.",99414766412205899
30112015831842,LO_2021_03_15,,FALSE,M1993 N68S5,"Sing a song of action; 23 original, progressive songs to act out rhythmically, through finger-plays and games, for pre-school, nursery and kindergarten children;","Norman, Ruth.","New York, Mills Music, c1950.",99336731112205899
